node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
GlymaFiskIII.U042500.1.p,2.0,0.0,1.0,2.0,125.81,1.0,0.06427,937.36442,9.39691,0.0202,2.0,0.0,
jgi|PhapaK8108|3108953|e_gw1.3250.1.1,99.0,0.0,1.0,99.0,785.102,62.0,0.06921,1136.63804,10.29623,96389.64049,7.6012100521E12,0.0,
jgi|PhapaK8108|11621498|estExt_fgenesh1_pm.C_tig00007329_26710001,99.0,0.0,1.0,99.0,808.59,1.0,0.06921,1136.63804,10.29623,96389.64049,7.6012100521E12,0.0,
GlymaFiskIII.U040400.1.p,2.0,0.0,1.0,2.0,116.424,5.0,0.07498,1347.91411,11.38846,9452.08228,2.52434292E8,0.0,
jgi|PhapaK8108|3118395|e_gw1.5823.2.1,109.0,0.0,1.0,109.0,1288.967,22.0,0.08179,1535.83142,11.72983,428611.22669,4.7041789998E10,0.0,
jgi|PhapaK8108|3107339|e_gw1.2824.40.1,41.0,0.0,1.0,41.0,959.508,58.0,0.08179,1580.3917,11.98924,374956.65551,5.3146361446E10,0.0,
GlymaFiskIII.U031300.1.p,4.0,0.0,1.0,4.0,25.534,3.0,0.08179,1150.87601,10.62966,982.87266,6.8700958066E10,0.0,
jgi|PhapaK8108|8084949|fgenesh1_kg.tig00001945_805_#_719_#_evgsoapSoap_101_scaffold12821_218954,29.0,0.0,1.0,29.0,142.911,30.0,0.08179,1289.27702,11.11003,153017.61381,8.80665629792E11,0.0,
jgi|PhapaK8108|7403844|fgenesh1_pm.tig00001564_644_#_3,42.0,0.0,1.0,42.0,61.5,1.0,0.07498,995.34881,9.74129,3501.94402,1.38211428E8,0.0,
jgi|PhapaK8108|3115776|e_gw1.5698.19.1,40.0,0.0,1.0,40.0,281.143,16.0,0.08997,1410.45992,11.4882,424441.02536,2.479649148354E12,0.0,
jgi|PhapaK8108|3092149|e_gw1.15.68.1,36.0,0.0,1.0,36.0,51.633,1.0,0.07498,991.34881,9.73965,447.68687,1392930.0,0.0,
GlymaFiskIII.U028900.1.p,34.0,0.0,1.0,34.0,1477.816,388.0,0.08997,1908.7381,12.54021,35104.79528,1.3397090332E10,0.0,
jgi|PhapaK8108|9952642|fgenesh1_kg.tig00012327_4067_#_29_#_evgsoapSoap_121_C57769_221464,209.0,0.0,1.0,226.0,1695.208,53.0,0.08997,1862.3627,12.39696,179564.79999,2.31328414934E11,0.0,
jgi|PhapaK8108|9923187|fgenesh1_kg.tig00012004_3990_#_1125_#_evgsoapSoap_121_C57769_221464,209.0,0.0,1.0,209.0,1695.208,1.0,0.08997,1862.3627,12.39696,167977.34183,2.21879623106E11,0.0,
jgi|PhapaK8108|10664757|fgenesh1_kg.tig00031218_5699_#_1335_#_evgsoapSoap_61_scaffold24429_208050,30.0,0.0,1.0,30.0,834.816,17.0,0.08179,1482.3667,11.74433,153032.71909,1.5002598982E10,0.0,
jgi|PhapaK8108|7916682|fgenesh1_kg.tig00001436_587_#_347_#_evgsoapSoap_101_scaffold16852_67777,222.0,0.0,1.0,226.0,1695.208,112.0,0.09997,1840.54881,12.32746,1030459.73179,1.519020410068E12,0.0,
jgi|PhapaK8108|364891|CE364890_6577,387.0,0.0,1.0,404.0,1695.208,144.0,0.08997,2082.25952,12.69441,467872.41492,8.2457422693E11,0.0,
jgi|PhapaK8108|3145005|estExt_Genewise1.C_tig00031575_59590009,161.0,0.0,1.0,161.0,1695.208,77.0,0.08997,1815.95952,12.30912,424035.24752,1.01301639954E12,0.0,
jgi|PhapaK8108|3120777|e_gw1.6006.9.1,462.0,0.0,1.0,466.0,1695.208,44.0,0.09997,2144.3004,12.72888,972157.08081,1.247338294104E12,0.0,
jgi|PhapaK8108|2610498|CE2610497_5123,95.0,0.0,1.0,95.0,1683.897,12.0,0.08997,1710.93532,12.19255,221777.89408,2.7021532098E11,0.0,
jgi|PhapaK8108|2322822|CE2322821_5749,235.0,0.0,1.0,235.0,1695.208,40.0,0.08997,1878.98294,12.40161,795031.89512,9.91765976678E11,0.0,
jgi|PhapaK8108|1458017|CE1458016_7253,371.0,0.0,1.0,371.0,1695.208,157.0,0.09997,2066.39365,12.66622,1325443.54824,5.79050196256E11,0.0,
jgi|PhapaK8108|11623252|estExt_fgenesh1_pm.C_tig00031253_57210027,239.0,0.0,1.0,241.0,1695.208,5.0,0.08997,1860.1369,12.36823,141209.01309,2.5989528747E11,0.0,
jgi|PhapaK8108|10859109|fgenesh1_kg.tig00031338_5785_#_2631_#_evgvelvOases_121_Loc861t1_155864,309.0,0.0,1.0,309.0,1695.208,23.0,0.09997,1981.23254,12.56716,994657.80897,1.553946222582E12,0.0,
